Year,Month,Day,Day_of_Year,Lunar_Phase,Solar_Declination,Lunar_Altitude,Solar_Altitude,Num_Aligned_Planets,Meteor_Shower_Active,Event_Type,Event_Intensity,Visible_Location,Earth_Moon_Distance
1975,1,14,,-0.7757863336479789,9.196877841985422,-77.270853923809,60.15833214937825,3,0,Full_Moon,Frequent,Worldwide,384400
1975,1,29,,0.45763804758002014,8.098577013421156,-36.211112029054846,65.16461728909988,3,0,New_Moon,Frequent,Worldwide,384400
1975,2,15,,-0.5405451031069399,20.090172506736774,8.354092165352569,40.60763182724898,2,0,Full_Moon,Frequent,Worldwide,384400
1975,2,27,,0.8065550878359231,-19.96054282743174,-20.18797220741888,27.63832177038286,2,1,New_Moon,Frequent,Worldwide,384400
1975,3,12,,0.5895999810831534,-6.083003664395779,-6.500240934284264,18.62010700526865,1,0,Meteor_Shower (Quadrantids - Unknown Asteroid),Low,Worldwide,384400
1975,3,14,,-0.8499940822877692,2.4169283610163816,54.458456045653634,85.1384749990917,0,0,Full_Moon,Frequent,Worldwide,384400
1975,3,27,,0.404018183425346,-22.751263015785383,-46.822722263646256,64.0732538986039,2,0,New_Moon,Frequent,Worldwide,384400
1975,4,14,,0.5845950579707961,-9.72580825106368,26.365640395389164,-14.783257610363506,2,0,Meteor_Shower (Perseids - Comet Swift-Tuttle),Moderate,Worldwide,384400
1975,4,16,,-0.013317223528903632,-14.597276182978515,67.92869567137384,-38.1986355995698,0,1,Full_Moon,Frequent,Worldwide,384400
1975,4,28,,0.885112173330024,19.34653166982037,-43.99111557971672,-43.67665386999145,2,0,New_Moon,Frequent,Worldwide,384400
1975,5,14,,-0.3384659338246263,-13.292219995355003,-49.97093516601124,-36.14822152624215,0,1,Meteor_Shower (October Draconids - Unknown Parent),Moderate,Worldwide,384400
1975,5,16,,0.5354490040094739,18.125707511148793,-8.17020261725014,-72.93738066195587,0,1,Full_Moon,Frequent,Worldwide,384400
1975,5,20,,0.8339648577755707,-6.727420998851354,-42.560420456051,-59.22768932953849,3,1,Meteor_Shower (Geminids - Asteroid Phaethon),High,Worldwide,384400
1975,5,29,,0.9752830165949125,-9.001082791273145,-56.602414057473034,54.60056367510771,0,1,New_Moon,Frequent,Worldwide,384400
1975,6,14,,0.8787650088935994,4.066352635651025,-52.13372207797476,52.35512449869492,4,0,Full_Moon,Frequent,Worldwide,384400
1975,6,20,,0.41420996967516865,16.559214281989856,-78.30835294930796,-57.62168644813285,2,1,Meteor_Shower (Eta Aquariids - Comet Halley),Moderate,Worldwide,384400
1975,6,24,,0.9623731264680344,-17.5397289580941,76.3843392089023,83.97165906513351,0,1,Meteor_Shower (September Equinox - Unknown Parent),Low,Worldwide,384400
1975,6,28,,0.7407400507778832,8.524233908561687,60.590724596412855,-67.36513823448477,3,0,New_Moon,Frequent,Worldwide,384400
